"mem_mb","proc_alive","cwd","running_ms","command","started","cpu","active","pid","proc_name","file"
"389.2","True","""C:\\Users\\Administrator\\Documents\\Tool""","35107","""Stop-Process -Id 19268 -Force -ErrorAction SilentlyContinue""","2026-08-02T10:39:35.527Z","391.2","False","11564","chrome","11875.txt"
"165.3","True","""C:\\Users\\Administrator\\Documents\\Tool""","30106","""Get-CimInstance Win32_Process | Where-Object { $_.Name -match '^(node|npm)(\\.exe)?$' -or ($_.Name -eq 'cmd.exe' -and $_.CommandLine -like '*npm*') } | Select-Object ProcessId,ParentProcessId,Name,CreationDate,ExecutablePath,CommandLine | Format-List""","2026-08-02T10:57:24.374Z","538.64","False","17580","Cursor","396055.txt"
"72.1","True","""C:\\Users\\Administrator\\Documents\\Tool\\backend""","205240","""cd \""c:\\Users\\Administrator\\Documents\\Tool\\backend\""; $env:PYTEST_ADDOPTS=\""\""; python -m pytest tests/security -q -p no:benchmark 2>&1""","2026-08-02T16:53:17.100Z","0.81","True","18844","powershell","451409.txt"
"4.5","True","""c:\\Users\\Administrator\\Documents\\Tool""","85327","""Get-ChildItem -Path \""C:\\Users\\Administrator\\Documents\\Tool\"" -Recurse -Include *.ts,*.tsx,tsconfig*.json,eslint*,package.json -File | Select-Object -First 200 FullName""","2026-08-02T13:43:15.149Z","0.02","False","18704","wermgr","475672.txt"
"63.2","True","""c:\\Users\\Administrator\\Documents\\Tool""","245892","""cd \""c:\\Users\\Administrator\\Documents\\Tool\\backend\""; pip install -e \"".[dev]\"" -q; python -m pytest tests/sre/ -v --tb=short""","2026-08-02T16:52:36.448Z","0.72","True","3688","powershell","519300.txt"
"121.3","True","|",,,,"7.72","True","18832","powershell","533.txt"
"66.4","True","""c:\\Users\\Administrator\\Documents\\Tool""","150632","""Get-ChildItem \""C:\\Users\\Administrator\\.cursor\\projects\\c-Users-Administrator-Documents-Tool\\terminals\"" -Filter *.txt | Select-Object Name, LastWriteTime, Length | Format-Table -AutoSize""","2026-08-02T16:54:09.736Z","1.05","True","21360","powershell","547799.txt"
"63.2","True","""C:\\Users\\Administrator\\Documents\\Tool\\backend""","41390","""git -C \""c:\\Users\\Administrator\\Documents\\Tool\"" status --short backend/src/cloud_content_hub/bootstrap 2>&1 | Select-Object -First 30""","2026-08-02T16:15:08.528Z","0.72","False","3688","powershell","576030.txt"
"23.4","True","""C:\\Users\\Administrator\\Documents\\Tool\\backend""","190074","""cd \""c:\\Users\\Administrator\\Documents\\Tool\\backend\""; python -m pytest tests/unit/test_bootstrap.py::TestConfiguration -q --tb=line 2>&1""","2026-08-02T16:19:10.703Z","0.2","False","7112","smartscreen","576032.txt"
"2","True","""c:\\Users\\Administrator\\Documents\\Tool""","35193","""Get-ChildItem -Path \""c:\\Users\\Administrator\\Documents\\Tool\"" -Recurse -Depth 4 -ErrorAction SilentlyContinue | Select-Object -First 80 FullName""","2026-08-02T16:16:29.537Z","0","False","20792","sh","687058.txt"
"7.7","True","""C:\\Users\\Administrator\\Documents\\Tool""","381645","""Set-Location \""c:\\Users\\Administrator\\Documents\\Tool\""; npm update 2>&1""","2026-08-02T14:25:33.916Z","0.06","False","20056","AppVShNotify","698539.txt"
"3.6","True","""C:\\Users\\Administrator\\Documents\\Tool""","35127","""Set-Location \""c:\\Users\\Administrator\\Documents\\Tool\""; git status; gh repo view Raja-code-cloud/tool --json url,defaultBranchRef""","2026-08-02T16:47:13.884Z","0.02","False","16164","pytest","71291.txt"
"67","True","""C:\\Users\\Administrator\\Documents\\Tool""","255988","""Set-Location \""c:\\Users\\Administrator\\Documents\\Tool\""; powershell -NoProfile -ExecutionPolicy Bypass -File \""scripts\\auto-sync-git.ps1\"" -IntervalMinutes 5""","2026-08-02T16:52:28.922Z","0.78","True","2264","powershell","71296.txt"
"13.6","True","""c:\\Users\\Administrator\\Documents\\Tool""","146389","""cd \""c:\\Users\\Administrator\\Documents\\Tool\""; if (Test-Path node_modules) { \""node_modules exists\"" } else { \""no node_modules\"" }; node -v; npx vitest --version 2>&1""","2026-08-02T16:23:37.929Z","0.62","False","20580","git-remote-https","742461.txt"
"71.7","True","""C:\\Users\\Administrator\\Documents\\Tool""","380468","""cd \""c:\\Users\\Administrator\\Documents\\Tool\""; node \""./node_modules/vitest/vitest.mjs\"" run tests/unit/lib/utils/cn.test.ts tests/unit/lib/utils/formatting.test.ts tests/unit/lib/utils/navigation.test.ts tests/unit/hooks/use-pagination.test.tsx tests/unit/hooks/use-sidebar.test.tsx tests/unit/hooks/use-toast.test.tsx tests/unit/hooks/use-theme.test.tsx tests/unit/components/buttons.test.tsx tests/unit/components/navigation.test.tsx tests/unit/components/feedback.test.tsx tests/unit/components/forms.test.tsx tests/unit/components/cards.test.tsx tests/unit/components/theme-toggle.test.tsx tests/integration/msw-foundation.test.ts tests/integration/routing-workflow.test.ts tests/integration/accessibility.test.tsx --pool=threads --maxWorkers=1 --no-file-parallelism 2>&1""","2026-08-02T16:50:27.530Z","0.84","True","18376","powershell","742466.txt"
"50.8","True","|",,,,"3.31","True","13152","powershell","89.txt"
